ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Płeć,Wiek (ukończony w latach),Wykształcenie,Wyrażam świadomą i dobrowolną zgodę na udział w badaniu.,Takie widoki w przestrzeni publicznej są normalne [1/10],Takie widoki w przestrzeni publicznej są normalne [2/10],Takie widoki w przestrzeni publicznej są normalne [3/10],Takie widoki w przestrzeni publicznej są normalne [4/10],Takie widoki w przestrzeni publicznej są normalne [5/10],Takie widoki w przestrzeni publicznej są normalne [6/10],Takie widoki w przestrzeni publicznej są normalne [7/10],Takie widoki w przestrzeni publicznej są normalne [8/10],Takie widoki w przestrzeni publicznej są normalne [9/10],Takie widoki w przestrzeni publicznej są normalne [10/10]
45,3.15.22 23:45:53,3.16.22 0:19:49,anonymous,Mężczyzna,27,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,1 – zdecydowanie się nie zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,1 – zdecydowanie się nie zgadzam,6 – zdecydowanie się zgadzam,1 – zdecydowanie się nie zgadzam,6 – zdecydowanie się zgadzam
46,3.16.22 0:15:31,3.16.22 0:26:58,anonymous,Mężczyzna,25,Wyższe,Tak,5 – zgadzam się,5 – zgadzam się,1 – zdecydowanie się nie zgadzam,5 – zgadzam się,5 – zgadzam się,1 – zdecydowanie się nie zgadzam,4 – raczej się zgadzam,5 – zgadzam się,2 – nie zgadzam się,4 – raczej się zgadzam
47,3.16.22 0:37:29,3.16.22 0:51:16,anonymous,Mężczyzna,20,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
48,3.16.22 9:41:14,3.16.22 9:57:13,anonymous,Mężczyzna,21,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
49,3.16.22 13:59:44,3.16.22 15:16:45,anonymous,Mężczyzna,23,Wyższe,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,1 – zdecydowanie się nie zgadzam
50,3.16.22 19:44:52,3.16.22 19:55:09,anonymous,Mężczyzna,18 (2021),Zawodowe,Tak,5 – zgadzam się,5 – zgadzam się,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
51,3.16.22 19:55:01,3.16.22 19:59:40,anonymous,Mężczyzna,21,Średnie,Tak,4 – raczej się zgadzam,1 – zdecydowanie się nie zgadzam,5 – zgadzam się,5 – zgadzam się,3 – raczej się nie zgadzam,5 – zgadzam się,5 – zgadzam się,3 – raczej się nie zgadzam,5 – zgadzam się,5 – zgadzam się
52,3.17.22 11:17:43,3.17.22 11:53:24,anonymous,Mężczyzna,22,Średnie,Tak,5 – zgadzam się,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,5 – zgadzam się,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,5 – zgadzam się,6 – zdecydowanie się zgadzam,2 – nie zgadzam się
53,3.17.22 13:02:50,3.17.22 13:08:38,anonymous,Mężczyzna,22,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam
54,3.17.22 18:39:09,3.17.22 18:46:03,anonymous,Mężczyzna,21,Wyższe,Tak,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się
55,3.17.22 21:03:04,3.17.22 21:38:48,anonymous,Mężczyzna,19,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,5 – zgadzam się,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam
